Blend,Repulsion,Speed,Gravity,Layer,Latency,Glitches,StopReason,AvgGrav,AvgRep,AvgGhost
1.5,-0.5,0.1,1.0,16,9.24,0,MAX_STEPS,0.0075,0.0000,9.5312
1.5,-0.5,0.15,0.5,16,9.12,0,MAX_STEPS,0.0298,0.0000,9.5313
1.5,-0.5,0.15,1.0,16,9.13,0,MAX_STEPS,0.0228,0.0000,9.5313
1.5,-0.5,0.2,0.5,16,9.05,0,MAX_STEPS,0.0119,0.0000,9.5312
1.5,-0.5,0.2,1.0,16,9.10,0,MAX_STEPS,0.0109,0.0000,9.5313
1.5,-1.0,0.1,0.5,16,9.09,0,MAX_STEPS,0.0177,0.0000,9.5312
1.5,-1.0,0.1,1.0,16,9.01,0,MAX_STEPS,0.0250,0.0000,9.5312
1.5,-1.0,0.15,0.5,16,9.20,0,MAX_STEPS,0.0185,0.0000,9.5313
1.5,-1.0,0.15,1.0,16,9.00,0,MAX_STEPS,0.0342,0.0000,9.5312
1.5,-1.0,0.2,0.5,16,9.09,0,MAX_STEPS,0.0204,0.0000,9.5312
1.5,-1.0,0.2,1.0,16,9.00,0,MAX_STEPS,0.0165,0.0000,9.5313
1.5,-2.0,0.1,0.5,16,9.02,0,MAX_STEPS,0.0202,0.0000,9.5312
1.5,-2.0,0.1,1.0,16,9.05,0,MAX_STEPS,0.0175,0.0000,9.5312
1.5,-2.0,0.15,0.5,16,9.01,0,MAX_STEPS,0.0198,0.0000,9.5312
1.5,-2.0,0.15,1.0,16,8.92,0,MAX_STEPS,0.0202,0.0000,9.5313
1.5,-2.0,0.2,0.5,16,8.93,0,MAX_STEPS,0.0209,0.0000,9.5312
1.5,-2.0,0.2,1.0,16,8.91,0,MAX_STEPS,0.0130,0.0000,9.5312
